max_depth,min_child_weight,gamma,subsample,colsample_bytree,lambda,alpha,valid_ndcg@5,best_iteration
6,5,1,0.85,1.0,1.0,0.5,0.4036288187419152,327
4,5,1,1.0,0.8,0.5,0.0,0.4030910869123395,633
4,5,0,0.85,0.8,1.0,0.5,0.4029474151246589,690
6,5,0,1.0,0.8,0.5,0.0,0.4028980120924863,322
4,10,0,0.85,1.0,0.5,0.5,0.4028461153839661,702
4,10,0,0.85,0.8,0.5,0.0,0.40276215752407574,678
6,5,1,1.0,1.0,1.0,0.5,0.40275562601663395,451
6,5,1,1.0,0.8,1.0,0.0,0.4027368674162676,333
6,5,1,1.0,1.0,0.5,0.0,0.4027271788968343,350
6,5,0,1.0,0.8,1.0,0.5,0.40265852693416687,342
4,5,0,1.0,0.8,1.0,0.5,0.4025855791460532,574
4,10,0,1.0,1.0,1.0,0.5,0.4025623853511835,614
6,5,1,0.85,0.8,1.0,0.0,0.40246718911110857,301
6,5,0,0.85,0.8,0.5,0.0,0.4024193726882798,387
6,10,1,1.0,1.0,0.5,0.0,0.4023938159780587,363
4,10,1,0.85,0.8,1.0,0.0,0.40225229743568297,605
4,10,0,1.0,0.8,0.5,0.0,0.4022485082959698,600
4,10,1,1.0,1.0,0.5,0.0,0.402239325381136,575
6,10,1,1.0,1.0,1.0,0.5,0.4022243687084805,357
6,5,1,1.0,0.8,1.0,0.5,0.40222310235426373,302
6,5,1,0.85,0.8,0.5,0.5,0.4021863032803807,392
6,10,1,0.85,1.0,1.0,0.5,0.4021107153673182,379
4,5,0,0.85,1.0,1.0,0.0,0.40208998373053645,628
6,10,1,1.0,0.8,0.5,0.0,0.4020156862484572,359
4,10,0,1.0,0.8,1.0,0.0,0.40200204933481154,545
6,10,0,1.0,0.8,1.0,0.5,0.40198602056617705,300
4,10,1,1.0,1.0,1.0,0.5,0.40195765153835644,609
6,5,0,0.85,0.8,1.0,0.0,0.4019205766407901,299
4,10,1,0.85,1.0,1.0,0.0,0.4019162745230932,601
6,10,0,0.85,1.0,1.0,0.5,0.40179593948558495,362
6,10,1,0.85,0.8,1.0,0.5,0.40177065710968857,352
6,5,0,0.85,0.8,1.0,0.5,0.40176033130581845,365
6,5,1,0.85,1.0,0.5,0.5,0.4017259714843879,433
4,10,0,0.85,1.0,1.0,0.5,0.4016460749299259,611
4,10,0,0.85,0.8,0.5,0.5,0.4016083480168643,625
6,10,1,0.85,1.0,0.5,0.5,0.4016054430667224,277
6,5,0,0.85,1.0,1.0,0.5,0.40152626225337756,240
6,5,0,1.0,1.0,0.5,0.5,0.4014761313667322,280
6,10,1,1.0,0.8,1.0,0.5,0.40144459787601733,303
6,10,0,0.85,1.0,0.5,0.5,0.40143086392434213,316
6,5,1,0.85,1.0,0.5,0.0,0.4013600204739487,303
4,10,0,0.85,1.0,0.5,0.0,0.4013593874476007,551
4,10,1,1.0,1.0,1.0,0.0,0.4013368525627143,568
6,5,0,1.0,0.8,1.0,0.0,0.4013169332009182,295
6,5,0,0.85,0.8,0.5,0.5,0.4012946402001924,305
6,10,0,1.0,0.8,0.5,0.5,0.401260531998717,263
4,5,1,1.0,0.8,1.0,0.5,0.4012154532234005,534
6,5,1,1.0,1.0,1.0,0.0,0.4012044038725794,373
4,10,1,1.0,0.8,0.5,0.0,0.4011808650010751,583
6,5,1,0.85,0.8,0.5,0.0,0.40114962773179735,261
6,10,0,1.0,0.8,1.0,0.0,0.4011448375352322,235
6,10,0,0.85,0.8,1.0,0.5,0.4011113987207994,303
4,5,1,0.85,1.0,1.0,0.0,0.40108150680818566,560
6,5,1,0.85,1.0,1.0,0.0,0.4009542865511765,414
6,10,1,0.85,1.0,0.5,0.0,0.40093580107417187,217
4,10,1,0.85,0.8,0.5,0.5,0.4009167228309384,481
6,10,1,0.85,1.0,1.0,0.0,0.4009005759512625,219
4,10,1,0.85,1.0,0.5,0.0,0.40089699999489053,513
6,5,0,0.85,1.0,0.5,0.0,0.4008927520310642,212
4,5,1,0.85,0.8,0.5,0.0,0.40085878624617555,474
6,5,0,1.0,0.8,0.5,0.5,0.4008391837342093,213
6,10,0,1.0,0.8,0.5,0.0,0.4008388612572964,300
4,10,0,0.85,0.8,1.0,0.0,0.40083145784987745,527
4,5,0,0.85,0.8,1.0,0.0,0.4008292109028047,496
6,10,0,1.0,1.0,1.0,0.0,0.40079540944075426,276
6,10,0,0.85,1.0,0.5,0.0,0.40074001096721124,304
4,5,1,0.85,1.0,0.5,0.0,0.4006617888019319,541
6,10,1,1.0,0.8,1.0,0.0,0.4006103995069212,211
8,10,0,1.0,0.8,1.0,0.5,0.4005851752153008,186
6,10,1,1.0,0.8,0.5,0.5,0.40058379214918094,325
6,5,1,1.0,0.8,0.5,0.0,0.40057821429366247,306
6,5,0,0.85,1.0,1.0,0.0,0.40057377925432497,283
6,5,0,1.0,1.0,1.0,0.5,0.4005564865630785,211
4,5,1,0.85,0.8,0.5,0.5,0.4004994182214612,479
6,10,0,0.85,0.8,0.5,0.0,0.4004659328315088,265
4,5,0,0.85,1.0,0.5,0.0,0.40045492514858094,501
4,10,1,0.85,1.0,1.0,0.5,0.40044803347281643,546
6,5,0,1.0,1.0,0.5,0.0,0.40044010963271964,240
4,5,0,1.0,1.0,1.0,0.5,0.40034897586592816,519
6,5,1,1.0,0.8,0.5,0.5,0.4003229550113821,318
6,10,0,0.85,0.8,0.5,0.5,0.40030485395906834,254
6,10,0,1.0,1.0,0.5,0.0,0.40030158635698004,241
4,5,0,1.0,1.0,1.0,0.0,0.4002984068310174,503
6,10,1,0.85,0.8,1.0,0.0,0.4002966995866845,253
6,10,0,1.0,1.0,0.5,0.5,0.4002234075367329,230
4,10,0,0.85,1.0,1.0,0.0,0.40002784174403305,479
6,10,1,1.0,1.0,1.0,0.0,0.4000258709977008,230
4,10,1,0.85,0.8,0.5,0.0,0.3999481654087178,465
6,10,0,0.85,0.8,1.0,0.0,0.3998750711845906,245
4,5,0,1.0,1.0,0.5,0.5,0.3998680931171181,410
4,5,0,0.85,0.8,0.5,0.5,0.39985747396124854,425
6,5,1,0.85,0.8,1.0,0.5,0.3998566970787183,280
4,10,1,1.0,0.8,0.5,0.5,0.399837652366749,482
4,5,1,1.0,0.8,0.5,0.5,0.3998257036909847,445
4,10,0,1.0,1.0,0.5,0.5,0.39978543536748934,437
6,5,1,1.0,1.0,0.5,0.5,0.3997703478522694,237
8,10,0,1.0,1.0,1.0,0.5,0.3997605450113066,171
6,10,1,0.85,0.8,0.5,0.5,0.3996710287289154,195
4,5,1,1.0,1.0,1.0,0.5,0.39966726371312866,444
4,10,0,0.85,0.8,1.0,0.5,0.3996445079781253,440
4,10,1,1.0,0.8,1.0,0.5,0.39955155025443406,421
8,10,1,1.0,0.8,0.5,0.0,0.399498211950306,185
4,10,0,1.0,1.0,1.0,0.0,0.39949017128394787,497
6,10,1,1.0,1.0,0.5,0.5,0.39948749482480933,230
4,5,1,1.0,1.0,1.0,0.0,0.39946139348054144,474
8,10,1,1.0,0.8,1.0,0.5,0.39945092850130015,172
8,10,1,1.0,1.0,0.5,0.5,0.399348016530673,210
8,10,0,1.0,1.0,0.5,0.0,0.3993366892722669,198
4,5,1,0.85,1.0,0.5,0.5,0.3993287902101101,465
8,5,1,1.0,0.8,0.5,0.5,0.3993208570857485,162
8,5,0,1.0,0.8,0.5,0.0,0.3992342762140745,153
6,10,0,1.0,1.0,1.0,0.5,0.3991608848030331,230
4,5,1,0.85,0.8,1.0,0.0,0.3991578601127601,423
4,10,0,1.0,0.8,1.0,0.5,0.399134886937843,379
4,10,1,0.85,1.0,0.5,0.5,0.39900321196572136,437
8,10,0,1.0,1.0,1.0,0.0,0.39899823791571315,167
4,5,0,1.0,0.8,0.5,0.0,0.3989490817137496,310
6,10,1,0.85,0.8,0.5,0.0,0.3989245004403053,227
4,5,0,0.85,1.0,0.5,0.5,0.39889733866705873,413
8,5,1,1.0,1.0,0.5,0.5,0.39886975827033305,196
6,5,0,0.85,1.0,0.5,0.5,0.3988318134728235,219
8,10,1,1.0,0.8,1.0,0.0,0.39882820296208144,141
8,5,0,1.0,1.0,0.5,0.0,0.39882325215880515,203
8,5,0,0.85,1.0,1.0,0.0,0.39878596033380265,156
4,5,0,1.0,0.8,1.0,0.0,0.39869878293550554,372
8,5,0,1.0,1.0,1.0,0.5,0.3986369585534934,146
8,10,0,1.0,0.8,0.5,0.0,0.39861590482664583,102
4,5,1,1.0,0.8,1.0,0.0,0.3985973364044479,378
8,5,1,1.0,1.0,1.0,0.5,0.39851700835461873,136
4,5,0,1.0,1.0,0.5,0.0,0.3985145668605835,349
8,10,1,0.85,0.8,0.5,0.0,0.39849981112373833,165
8,10,0,0.85,0.8,1.0,0.5,0.3984503482106582,198
4,10,0,1.0,1.0,0.5,0.0,0.39839474187917134,389
8,5,1,0.85,1.0,1.0,0.5,0.39833791770001803,167
8,5,1,0.85,1.0,1.0,0.0,0.3983234091938656,188
6,10,0,0.85,1.0,1.0,0.0,0.398272101015805,191
4,5,0,1.0,0.8,0.5,0.5,0.39827035568534885,375
6,5,0,1.0,1.0,1.0,0.0,0.3982623580551674,150
8,10,1,0.85,1.0,0.5,0.5,0.3982602352332045,138
8,10,0,0.85,1.0,1.0,0.0,0.39822665030909593,203
8,10,1,1.0,0.8,0.5,0.5,0.3981927674313707,166
8,10,1,0.85,0.8,1.0,0.5,0.3981542954404664,138
8,5,1,1.0,0.8,1.0,0.0,0.3981077489869889,156
8,10,1,1.0,1.0,0.5,0.0,0.3980690639241052,179
8,10,0,1.0,0.8,0.5,0.5,0.39802624556342525,128
8,10,0,0.85,0.8,1.0,0.0,0.39801218648101966,177
8,5,0,0.85,0.8,0.5,0.5,0.39799646538252387,162
4,10,1,1.0,1.0,0.5,0.5,0.39797523794759027,304
8,10,0,0.85,1.0,1.0,0.5,0.39788455038578785,187
4,5,1,1.0,1.0,0.5,0.5,0.39787084708407316,314
8,10,1,1.0,1.0,1.0,0.0,0.39785884184027714,140
8,10,1,1.0,1.0,1.0,0.5,0.39785396162837744,139
8,10,0,1.0,1.0,0.5,0.5,0.3977883406303973,191
8,10,1,0.85,0.8,1.0,0.0,0.3977843428621637,157
8,5,0,1.0,0.8,0.5,0.5,0.3976213875068774,186
8,10,0,0.85,0.8,0.5,0.0,0.3975930299327424,236
8,5,1,1.0,1.0,0.5,0.0,0.3975718115613129,159
8,5,0,1.0,1.0,1.0,0.0,0.3975712863731593,168
8,10,1,0.85,1.0,1.0,0.5,0.39751368068427967,134
8,5,0,1.0,0.8,1.0,0.5,0.397498083913121,109
8,5,1,1.0,1.0,1.0,0.0,0.39749439060234193,145
8,5,0,0.85,0.8,0.5,0.0,0.3974858363154413,148
4,5,1,1.0,1.0,0.5,0.0,0.39742831495990866,359
8,5,0,0.85,1.0,1.0,0.5,0.39740957239088953,161
8,5,0,0.85,0.8,1.0,0.5,0.3974080799192193,162
4,5,0,0.85,1.0,1.0,0.5,0.3973771086664456,315
8,10,1,0.85,0.8,0.5,0.5,0.397353768801913,130
8,5,0,1.0,0.8,1.0,0.0,0.3973436949483947,123
4,10,1,0.85,0.8,1.0,0.5,0.3973423002900016,334
4,10,1,1.0,0.8,1.0,0.0,0.3973163979131625,328
8,5,1,0.85,0.8,0.5,0.5,0.3971272380616788,96
8,5,1,0.85,1.0,0.5,0.0,0.3971245749097054,189
8,10,0,1.0,0.8,1.0,0.0,0.39703407029600657,115
8,10,1,0.85,1.0,1.0,0.0,0.3969729428925937,130
8,5,0,0.85,1.0,0.5,0.0,0.3969695143396522,152
4,5,1,0.85,1.0,1.0,0.5,0.39696324359159896,287
4,10,0,1.0,0.8,0.5,0.5,0.39683906973398436,303
8,5,1,0.85,1.0,0.5,0.5,0.3967227738322651,134
8,10,0,0.85,1.0,0.5,0.0,0.3966605370684481,189
8,5,1,1.0,0.8,1.0,0.5,0.396631336315155,94
8,5,0,0.85,0.8,1.0,0.0,0.39662837515849314,130
8,5,0,1.0,1.0,0.5,0.5,0.3965801430555028,110
8,5,1,0.85,0.8,1.0,0.0,0.39655867430166475,138
8,5,1,0.85,0.8,0.5,0.0,0.39647525756447205,161
4,5,1,0.85,0.8,1.0,0.5,0.3963213126802976,243
8,10,1,0.85,1.0,0.5,0.0,0.3962796035811548,133
8,5,1,0.85,0.8,1.0,0.5,0.3961821654343913,169
8,10,0,0.85,0.8,0.5,0.5,0.3960564521795669,134
8,5,1,1.0,0.8,0.5,0.0,0.39604624060302196,149
8,5,0,0.85,1.0,0.5,0.5,0.39574545836713465,180
4,5,0,0.85,0.8,0.5,0.0,0.39493902249559465,220
8,10,0,0.85,1.0,0.5,0.5,0.3949176756593859,132
